value,freq
385,3
6300,3
1342,2
3312,4
6136,1
754,3
5278,2
1846,2
960,11
7200,1
590,2
1965,1
3114,1
5373,1
6975,1
6860,1
7350,1
4318,1
189,7
1720,3
927,1
2483,1
6900,1
25,4
1484,3
1338,1
1843,1
3234,3
1528,1
7110,1
5211,1
5773,1
1854,2
935,3
3036,3
3912,1
6438,1
3586,1
3621,1
125,4
7470,1
1056,7
2110,1
2304,4
2794,2
1391,1
2860,4
2667,1
2813,1
1270,2
5191,1
2355,1
4473,1
4011,1
1817,1
340,6
3325,2
2641,1
5250,3
7440,2
2354,2
1892,2
2300,4
3483,1
3706,1
1070,2
5152,2
1890,8
5859,2
669,1
1875,2
3290,1
1387,1
1323,4
1876,2
770,6
3120,7
5635,1
2835,3
360,14
3690,3
3806,1
459,4
1375,2
16,6
1166,2
329,1
2490,3
386,1
4484,1
3074,1
183,3
2675,1
810,8
1644,1
1768,4
5319,1
3555,1
3510,5
4424,1
2280,7
725,3
2407,1
768,6
2523,1
5970,1
4465,1
5976,1
651,4
270,10
1044,5
1504,2
1628,2
1752,3
3277,1
2030,3
561,3
2212,2
942,1
203,4
145,4
884,4
1260,13
1247,1
213,3
3658,1
836,4
3168,4
3861,1
1141,1
3097,1
3834,2
4374,2
3784,1
4644,1
5075,2
4608,1
3088,1
697,1
1519,2
640,6
2167,1
2769,1
3285,1
3774,1
1815,2
445,1
39,4
103,2
1442,2
107,2
4602,1
4656,1
2061,1
1544,1
4509,1
1914,3
2338,1
5428,1
5258,1
2388,1
1425,3
207,5
384,8
1580,2
3382,1
7502,1
7134,1
502,1
3204,1
1463,3
3055,1
3886,1
2259,1
3475,1
3562,1
5778,1
4150,1
1368,7
45,6
3596,2
1524,2
4796,1
2296,2
635,1
5334,1
155,4
378,9
6561,1
3624,1
2670,2
668,1
1292,2
3668,1
4008,1
1428,7
5270,1
5375,1
195,6
556,1
1173,2
286,5
2250,6
2775,2
201,3
548,1
2563,1
4267,1
1296,8
2369,1
3390,2
2448,5
3288,1
4378,1
897,2
560,9
4224,2
3434,1
1634,1
2461,1
3937,1
5130,2
81,5
553,1
1457,1
5746,1
5136,1
2868,1
3266,1
1067,1
282,3
304,5
1464,4
584,2
1635,1
795,2
498,3
4247,1
2055,1
817,1
3289,2
3006,1
2145,3
5400,4
3056,1
5200,2
704,5
1885,2
3838,1
4332,1
3150,6
4185,2
3128,2
1672,4
2249,1
361,1
3550,1
3287,1
4640,2
6757,1
442,4
7223,1
78,7
6832,1
492,5
5010,1
2912,5
1737,1
1001,3
2496,5
